,row,column,tcid,tbid,created_at,user_agent,total_events,session_duration_s,total_scroll_depth,max_scroll_depth,TOUCH_START_count,SCROLL_count,RESIZE_count,VISIBILITY_CHANGE_count
20,12,0,fd491e85-56bb-486a-a786-4d124c1935e7,b3ba4f5a-cff5-4fac-acfe-9fb9fefd4b18,2025-02-25 20:16:14.241,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1,gzip(gfe);GoogleHypersonic",52,26.775,337.0,120.0,18,6,4,0
21,13,0,8a49dbb9-55ca-4372-b065-975947a8c4df,4dbe44a4-85c0-4353-89af-e62b68e50d68,2025-02-25 13:41:01.606,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.120 Mobile/15E148 Safari/604.1",19,4.47,1268.0,1103.0,10,2,2,0
22,14,0,220be536-d36c-487f-b083-640e4eaaa595,b3d0011c-4539-43f0-b685-c5156ae35a27,2025-02-25 14:34:59.137,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1,gzip(gfe);GoogleHypersonic",150,55.753,5225.0,661.0,37,19,1,0
23,15,0,4dfabee8-93ca-4f4d-b7f8-dffcf3df71d5,1dfa46f7-c16f-48ec-8fe0-694ddf74f3cb,2025-02-25 15:00:18.712,"Mozilla/5.0 (Linux; Android 13; SM-A326B Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/133.0.6943.81 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/500.0.0.57.50;IABMV/1;]",113,22.758,34508.80014038086,4345.60009765625,68,13,0,0
24,16,0,5203aebc-5bf4-4c83-8474-10300a87938a,3958cb17-25be-4156-8649-fa0238b084f6,2025-02-25 10:24:01.061,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1,gzip(gfe);GoogleHypersonic",71,31.834,2828.0,905.0,32,4,0,0
25,17,0,1a9bf09c-e5f4-4c44-b290-7372f8975c06,cf5ef16d-e07b-4567-9cc7-393505cf1f29,2025-02-25 17:19:05.552,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.120 Mobile/15E148 Safari/604.1",3,1680.73,0.0,0.0,0,0,0,3
26,18,0,a188c881-d837-4707-9e82-fb189e04e1c3,be35c5bc-c4c7-4a91-b260-9480e9c9283d,2025-02-25 14:21:36.278,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.120 Mobile/15E148 Safari/604.1",10,9.573,772.0,277.0,2,3,1,0
27,19,0,61559f3d-c811-4c9a-a91d-cf77f1c1aff4,f42ac602-e5c1-4f0d-b147-e8bd213f15fb,2025-02-25 08:25:48.469,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36",487,175.531,240083.26034545898,4846.5185546875,224,90,3,0
28,20,0,230525ac-6961-4625-953a-b384b40f694b,09996fa2-4c5c-42ae-a867-e2a52e3bc68f,2025-02-25 20:37:32.925,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36",163,107.791,77821.71401977539,4870.85693359375,68,30,6,0
29,21,0,3c67ef8e-756e-4e79-adef-c31a60138cd1,becca257-c4ac-44bf-a424-9f12518fbf35,2025-02-25 12:38:05.164,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36",4,17.071,0.0,0.0,0,0,0,4
30,22,0,fd1b08e2-9014-4353-aa29-d21902edcf79,b7466825-5614-4827-acd7-29837e879313,2025-02-25 15:10:24.737,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.84 Mobile/15E148 Safari/604.1",68,55.789,15529.0,8820.0,22,13,9,0
31,23,0,69c75a7f-068a-4ab3-96cd-34a636e37a0c,a10c655c-dbe1-4867-896d-46fdf6c16642,2025-02-25 13:51:23.751,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36",145,44.366,35824.5,2852.5,66,31,3,0
32,24,0,334cb50c-b306-4a7d-be60-64a8f1469939,0a56dce5-0f66-4987-9cfb-b76b4933392f,2025-02-25 13:48:52.108,"Mozilla/5.0 (Linux; Android 10; AQM-LX1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Mobile Safari/537.36",62,52.255,1368.3333435058594,496.3333435058594,22,6,3,0
33,25,0,3ec0e0af-0d84-4443-9260-7f7e8bd93f44,59780ce4-df69-4b11-a3c3-752b3cee265c,2025-02-25 15:59:33.083,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_8_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.6 Mobile/15E148 Safari/604.1,gzip(gfe);GoogleHypersonic",618,302.031,30394.0,1252.0,160,52,30,3
34,25,1,3ec0e0af-0d84-4443-9260-7f7e8bd93f44,64172e88-07df-458b-9934-647167d8f1a8,2025-02-26 19:24:41.477,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_8_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.6 Mobile/15E148 Safari/604.1,gzip(gfe);GoogleHypersonic",84,44.699,416.0,138.0,30,7,2,2
35,25,2,3ec0e0af-0d84-4443-9260-7f7e8bd93f44,64172e88-07df-458b-9934-647167d8f1a8,2025-02-26 19:24:47.058,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_8_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.6 Mobile/15E148 Safari/604.1,gzip(gfe);GoogleHypersonic",84,44.699,416.0,138.0,30,7,2,2
36,26,0,9d068abd-e90a-4c61-b777-4c699c88fa4c,0a657f88-88a3-47be-839c-0cc38b487b5b,2025-02-25 15:05:18.517,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36",514,375.204,719656.5282058716,33969.06640625,276,76,7,2
37,27,0,74141c94-7d41-4118-a9b2-8597a70d9d7c,fd20df00-b8a8-46c3-92e0-e8d285e76f50,2025-02-25 06:37:31.551,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36",313,108.303,61580.0,3281.0,130,38,3,0
38,28,0,883dd11e-8bce-4cd6-bf6e-5cc320009a7d,69656654-c472-42bb-a533-00058d555ef4,2025-02-25 13:04:10.784,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1,gzip(gfe);GoogleHypersonic",139,55.842,19258.0,1967.0,63,18,7,0
39,29,0,a15f5fec-cf2e-4ab7-aead-30f50d995b3f,91ead496-0e7d-4084-91dc-c236da8b1d94,2025-02-25 17:11:20.745,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1,gzip(gfe);GoogleHypersonic",45,27.025,1492.0,813.0,18,4,3,1
40,29,1,a15f5fec-cf2e-4ab7-aead-30f50d995b3f,873e5a40-8392-4a45-85fe-5c3c353bb518,2025-02-25 19:18:58.348,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1,gzip(gfe);GoogleHypersonic",1,0.0,0.0,0.0,0,0,0,1
41,29,2,a15f5fec-cf2e-4ab7-aead-30f50d995b3f,873e5a40-8392-4a45-85fe-5c3c353bb518,2025-02-25 19:19:04.054,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1,gzip(gfe);GoogleHypersonic",1,0.0,0.0,0.0,0,0,0,1
42,30,0,93b00097-04bf-460d-a358-5d549c9df851,d8abbaba-2885-45ec-bd16-fa3414f00b9a,2025-02-25 12:39:34.973,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36",21,11.778,1377.8182373046875,1377.8182373046875,12,1,1,0
43,31,0,3ab1f060-8103-44f7-a9ac-a0b38a8de4e9,79e1a061-1b78-4e60-81fe-9bf12a41065b,2025-02-25 11:04:43.548,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1,gzip(gfe);GoogleHypersonic",77,21.408,14141.0,1923.0,16,11,6,1
44,32,0,e382ce5a-32d6-42f2-bbd1-51d2a90833f3,a0d53938-8bdc-4884-860a-ecd8e8a95570,2025-02-25 10:28:20.634,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21F90 [FBAN/FBIOS;FBAV/501.0.0.49.107;FBBV/699723644;FBDV/iPhone13,2;FBMD/iPhone;FBSN/iOS;FBSV/17.5.1;FBSS/3;FBID/phone;FBLC/el_GR;FBOP/5;FBRV/701616743;IABMV/1]",236,183.51,22602.0,4384.0,45,19,5,1
45,32,1,e382ce5a-32d6-42f2-bbd1-51d2a90833f3,469e5148-780e-49a3-937c-b5d0ecce03b9,2025-03-02 16:17:01.866,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22D72 [FBAN/FBIOS;FBAV/501.0.0.49.107;FBBV/699723644;FBDV/iPhone13,2;FBMD/iPhone;FBSN/iOS;FBSV/18.3.1;FBSS/3;FBID/phone;FBLC/el_GR;FBOP/5;FBRV/703296132;IABMV/1]",5,3.843,3189.0,3189.0,2,1,0,1
46,32,2,e382ce5a-32d6-42f2-bbd1-51d2a90833f3,469e5148-780e-49a3-937c-b5d0ecce03b9,2025-03-02 16:17:07.484,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22D72 [FBAN/FBIOS;FBAV/501.0.0.49.107;FBBV/699723644;FBDV/iPhone13,2;FBMD/iPhone;FBSN/iOS;FBSV/18.3.1;FBSS/3;FBID/phone;FBLC/el_GR;FBOP/5;FBRV/703296132;IABMV/1]",5,3.843,3189.0,3189.0,2,1,0,1
47,33,0,e5601747-0647-4c56-bc5e-8eb8bae07268,076e25e9-674b-465e-acc8-a4c433c0468a,2025-02-25 18:11:40.378,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1,gzip(gfe);GoogleHypersonic",93,62.165,28707.0,2291.0,34,16,11,0
48,34,0,d571c0d0-4012-477a-8020-182d8798fce3,d31db563-ecbf-4db7-83d2-cd889547f5a7,2025-02-25 12:45:44.539,"Mozilla/5.0 (Linux; Android 12; M2102J20SG Build/SKQ1.211006.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/132.0.6834.166 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/501.0.0.61.70;IABMV/1;]",161,76.672,83213.45397949219,5510.54541015625,84,26,0,0
49,35,0,46a74c09-59ca-4b7f-85ee-6116174e3f8f,533f9b00-9e8b-447d-8d6c-930a90b2e3c9,2025-02-26 13:12:54.180,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36",234,92.228,25385.45460510254,2981.45458984375,90,19,8,0
50,35,1,46a74c09-59ca-4b7f-85ee-6116174e3f8f,533f9b00-9e8b-447d-8d6c-930a90b2e3c9,2025-02-26 13:12:59.820,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36",234,92.228,25385.45460510254,2981.45458984375,90,19,8,0
51,36,0,2c4d7c96-488d-461f-bb8f-f67a9bc5f78e,a6e0e2a0-4faa-4eef-a740-ca05e325c1fa,2025-02-25 13:25:59.069,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36",98,35.815,15007.238174438477,3422.09521484375,48,12,4,0
52,37,0,126d866d-391d-418f-9fac-a7c4ecc39e85,63a5dc10-5d38-4ebe-9be9-f9f6a08a1542,2025-02-25 11:32:49.840,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_7_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.120 Mobile/15E148 Safari/604.1",49,1095.146,2686.0,971.0,21,8,6,3
53,38,0,581a7033-fb30-4c99-908d-38e509a9efa7,7a3f63c4-4b01-4ab4-8546-9fd2b61e3d94,2025-02-25 06:15:02.272,"Mozilla/5.0 (Linux; Android 13; SM-G770F Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/133.0.6943.117 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/501.0.0.61.70;IABMV/1;]",379,306.401,102781.33264160156,14825.142578125,156,30,0,12
54,39,0,5908dab5-d4f9-4545-b643-96c817d5a7f4,c7cf7d6f-38d4-46d0-a796-05300bbdde87,2025-02-25 07:07:50.181,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,167,88.88,358122.0,14892.0,0,53,0,0
55,40,0,1e6f54e5-b993-4b49-9005-89a2a94e7620,51b351e5-0dcb-4f4a-97aa-bf9c582d6038,2025-02-25 11:19:11.708,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,94,39.308,0.0,0.0,0,0,0,5
56,40,1,1e6f54e5-b993-4b49-9005-89a2a94e7620,b0272ac4-0af4-48ad-9029-046098ec6e4e,2025-02-25 11:20:10.755,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,1108,726.839,13950.0,1122.0,0,41,0,5
57,40,2,1e6f54e5-b993-4b49-9005-89a2a94e7620,27960be3-b18c-4481-802f-798d6905b588,2025-02-25 11:21:05.883,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,29,673.086,0.0,0.0,0,0,0,5
58,40,3,1e6f54e5-b993-4b49-9005-89a2a94e7620,45e9438f-3250-450d-9df1-b479c1b81433,2025-02-25 17:54:36.429,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,69,1056.185,0.0,0.0,0,1,0,1
59,40,4,1e6f54e5-b993-4b49-9005-89a2a94e7620,45e9438f-3250-450d-9df1-b479c1b81433,2025-02-25 17:54:41.902,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,69,1056.185,0.0,0.0,0,1,0,1
60,41,0,c7b9a4d6-ddaa-4aea-9565-50433e8f282d,4b7b7c11-186d-4c57-88b2-e7accde0dcf7,2025-02-25 15:11:29.006,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36",166,89.555,29153.5,4194.0,65,15,2,0
61,42,0,27140572-d211-4bae-80b8-6df83db5d4a4,af792006-3e93-4450-a34d-a536066fbd84,2025-02-25 17:30:14.862,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36",37,7.276,7844.6666259765625,3274.666748046875,20,3,1,0
62,43,0,d5755150-df77-4689-a384-b5617470cbfd,0250ee57-5bc2-4661-995f-2c442777532a,2025-02-25 13:42:38.264,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1,gzip(gfe);GoogleHypersonic",12,7.754,0.0,0.0,6,0,0,0
63,44,0,a1173897-d78a-4542-a04b-865bea4adc63,0ceb59ec-ae75-46c6-a9cf-7c6e12c87d16,2025-02-25 17:55:22.083,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/356.2.728375747 Mobile/15E148 Safari/604.1",64,124.52,9023.0,1679.0,20,12,7,3
64,45,0,9d672d24-0f99-428c-ab7b-755afe55c6b9,240555bc-b727-4db7-8565-0b607c36f230,2025-02-25 14:52:47.435,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBAV/495.0.0.46.108;FBBV/699488292;FBDV/iPhone14,2;FBMD/iPhone;FBSN/iOS;FBSV/18.3.1;FBSS/3;FBCR/;FBID/phone;FBLC/el_GR;FBOP/80]",33,35.932,5339.0,1216.0,16,7,1,0
65,46,0,730bd92c-989d-4f41-8255-b4d63bbc7190,a709ea6b-63ac-4eeb-a74f-96421e8358a3,2025-02-25 07:21:06.622,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1,gzip(gfe);GoogleHypersonic",236,221.214,201506.0,14086.0,88,31,13,1
66,46,1,730bd92c-989d-4f41-8255-b4d63bbc7190,d7381231-c8ab-4941-bba6-7ec3597f2a71,2025-02-25 08:18:20.132,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1,gzip(gfe);GoogleHypersonic",7,2.111,0.0,0.0,2,1,3,0
